Nro de clientes,Horario de llegada,Tiempo entre clientes,Consume en local / Take away
1,12:26:00,-,TA
2,12:26:00,0:00:00,Consume
3,12:27:00,0:01:00,Consume
4,12:27:00,0:00:00,TA
5,12:27:00,0:00:00,TA
6,12:27:00,0:00:00,Consume
7,12:29:00,0:02:00,TA
8,12:29:00,0:00:00,Consume
9,12:31:00,0:02:00,TA
10,12:31:00,0:00:00,TA
11,12:32:00,0:01:00,TA
12,12:32:00,0:00:00,Consume
13,12:37:00,0:05:00,TA
14,12:43:00,0:06:00,TA
15,12:43:00,0:00:00,Consume
16,12:43:00,0:00:00,TA
17,12:43:00,0:00:00,Consume
18,12:44:00,0:01:00,Consume
19,12:44:00,0:00:00,Consume
20,12:44:00,0:00:00,TA
21,12:44:00,0:00:00,TA
22,12:44:00,0:00:00,Consume
23,12:44:00,0:00:00,TA
24,12:45:00,0:01:00,TA
25,12:45:00,0:00:00,Consume
26,12:45:00,0:00:00,TA
27,12:46:00,0:01:00,Consume
28,12:50:00,0:04:00,Consume
