Nro de clientes,Horario de llegada,Tiempo entre clientes,Consume en local / Take away
1,9:08:00,-,TA
2,9:12:02,0:04:02,TA
3,9:14:00,0:01:58,Consume
4,9:14:02,0:00:02,TA
5,9:17:05,0:03:03,TA
6,9:18:00,0:00:55,Consume
7,9:19:00,0:01:00,TA
8,9:20:00,0:01:00,TA
9,9:20:02,0:00:02,Consume
10,9:20:04,0:00:02,Consume
11,9:21:03,0:00:59,TA
12,9:21:05,0:00:02,TA
13,9:25:01,0:03:56,Consume
14,9:25:01,0:00:00,Consume
15,9:26:04,0:01:03,Consume
16,9:27:05,0:01:01,Consume
17,9:29:02,0:01:57,Consume
18,9:44:05,0:15:03,Consume
